Date,Close,High,Low,Open,Volume,Sentiment_Score,FNG_Value,MA7,MA30,SMA20,STD20,BB_Upper,BB_Lower
2020-10-06,10604.40625,10797.578125,10528.890625,10796.306640625,42623695307,0.0,47,10656.653738839286,10634.294954427083,10715.1373046875,194.86573587651145,11104.868776440522,10325.405832934477
2020-10-07,10668.96875,10680.5078125,10562.5068359375,10603.35546875,37799458436,0.0625,43,10640.15053013393,10644.275130208332,10701.13623046875,187.08345822514525,11075.303146919041,10326.969314018459
2020-10-08,10915.685546875,10945.7373046875,10562.6064453125,10669.37109375,63314794397,0.16818181818181818,46,10682.46958705357,10670.414095052083,10699.6912109375,185.2062966668573,11070.103804271215,10329.278617603786
2020-10-09,11064.4580078125,11102.671875,10846.8505859375,10927.9130859375,22799117613,0.16818181818181818,48,10752.2529296875,10697.8177734375,10698.19677734375,181.946100264659,11062.088977873069,10334.304576814431
2020-10-10,11296.361328125,11442.2109375,11056.9404296875,11059.142578125,22877978588,0.0,53,10858.97181919643,10728.9251953125,10716.10126953125,220.37489978792073,11156.851069107091,10275.351469955407
2020-10-11,11384.181640625,11428.8134765625,11288.6279296875,11296.08203125,19968627060,0.0,55,10961.057338169643,10761.700748697916,10762.19736328125,257.73667800881816,11277.670719298885,10246.724007263614
2020-10-12,11555.36328125,11698.4677734375,11240.6865234375,11392.6357421875,26163972642,0.0,52,11069.91782924107,10798.807161458333,10813.042529296876,306.89316148046106,11426.828852257799,10199.256206335953
2020-10-13,11425.8994140625,11548.984375,11321.224609375,11548.7197265625,24241420251,0.0,56,11187.273995535714,10835.545279947917,10872.028173828125,305.5768094773211,11483.181792782767,10260.874554873482
2020-10-14,11429.5068359375,11539.9775390625,11307.8310546875,11429.0478515625,24103426719,-0.15,53,11295.922293526786,10860.500911458334,10905.5001953125,328.4738265772307,11562.44784846696,10248.552542158039
2020-10-15,11495.349609375,11569.9140625,11303.603515625,11426.6025390625,24487233058,0.0,56,11378.7314453125,10883.780859375,10945.6318359375,349.4688168615542,11644.569469660608,10246.694202214392
2020-10-16,11322.123046875,11540.0615234375,11223.0126953125,11502.828125,25635480772,-0.3,52,11415.540736607143,10895.35478515625,10974.201806640625,355.9917344517917,11686.185275544209,10262.218337737042
2020-10-17,11358.1015625,11386.26171875,11285.345703125,11322.123046875,19130430174,-0.3,56,11424.360770089286,10908.991829427083,11003.343408203125,362.64325651978066,11728.629921242687,10278.056895163563
2020-10-18,11483.359375,11483.359375,11347.578125,11355.982421875,18283314340,0.0,55,11438.529017857143,10926.950944010418,11042.028759765624,370.8398900516028,11783.70853986883,10300.348979662418
2020-10-19,11742.037109375,11799.0927734375,11408.2900390625,11495.0380859375,23860769928,0.0,55,11465.196707589286,10948.540625,11086.898583984375,398.92657603573997,11884.751736055856,10289.045431912895
2020-10-20,11916.3349609375,11999.91796875,11681.48046875,11745.974609375,30915821592,0.0,56,11535.25892857143,10981.142740885416,11143.490771484376,432.6276397418639,12008.746050968104,10278.235492000647
2020-10-21,12823.689453125,13184.56640625,11900.9287109375,11913.0771484375,43414712626,0.0625,61,11734.42787388393,11059.857063802083,11253.70263671875,555.4365208543521,12364.575678427454,10142.829595010046
2020-10-22,12965.8916015625,13161.59375,12717.09375,12801.6357421875,34729759598,0.0,73,11944.505301339286,11140.771451822917,11373.198486328125,650.8446114204266,12674.88770916898,10071.50926348727
2020-10-23,12931.5390625,13015.9619140625,12752.6474609375,12971.548828125,28974975003,0.16818181818181818,74,12174.421875,11230.283203125,11492.308984375,707.638542484243,12907.586069343486,10077.031899406515
2020-10-24,13108.0625,13145.06640625,12885.7470703125,12931.57421875,24542317940,0.0,73,12424.416294642857,11308.549739583334,11614.232958984376,766.0825195495433,13146.397998083463,10082.067919885289
2020-10-25,13031.173828125,13329.18359375,12910.0615234375,13108.0634765625,24406920575,0.0,76,12645.532645089286,11386.498307291668,11726.124658203125,802.4379622306532,13331.000582664432,10121.248733741819
2020-10-26,13075.248046875,13225.2978515625,12822.3828125,13031.201171875,29461458313,0.0,75,12835.99135044643,11463.982454427083,11849.666748046875,810.8103728158349,13471.287493678545,10228.046002415205
2020-10-27,13654.21875,13759.6689453125,13060.837890625,13075.2421875,33749878156,0.0,61,13084.260463169643,11559.947428385416,11998.929248046876,855.5586060606826,13710.046460168242,10287.81203592551
2020-10-28,13271.28515625,13837.6953125,12932.2509765625,13654.21484375,35867318895,0.0,70,13148.202706473214,11645.335188802082,12116.709228515625,860.7114622802635,13838.132153076152,10395.286303955098
2020-10-29,13437.8828125,13612.0478515625,12980.0595703125,13271.298828125,56499499598,0.13636363636363635,67,13215.63002232143,11731.776595052082,12235.38046875,871.5464159238235,13978.473300597647,10492.287636902352
2020-10-30,13546.5224609375,13651.5166015625,13136.1982421875,13437.8740234375,30581485201,-0.3,74,13303.484793526786,11823.844303385416,12347.888525390625,889.0102440982176,14125.90901358706,10569.86803719419
2020-10-31,13780.9951171875,14028.2138671875,13457.5302734375,13546.5322265625,30306464719,0.0,73,13399.61802455357,11929.229069010416,12467.72919921875,913.4743642804912,14294.677927779732,10640.780470657766
2020-11-01,13737.109375,13862.033203125,13628.3779296875,13780.9951171875,24453857900,0.0,72,13500.46595982143,12034.600227864583,12576.81650390625,928.9265602174519,14434.669624341153,10718.963383471346
2020-11-02,13550.4892578125,13808.3232421875,13243.16015625,13737.0322265625,30771455468,0.0,71,13568.35756138393,12134.638899739582,12683.04599609375,911.705195746376,14506.456387586502,10859.635604600997
2020-11-03,13950.30078125,13984.9814453125,13325.44140625,13550.451171875,29869951617,0.0,71,13610.654994419643,12243.996158854166,12809.085693359375,903.4954074327048,14616.076508224785,11002.094878493965
2020-11-04,14133.70703125,14218.7666015625,13580.4716796875,13950.48828125,35116364962,0.0625,74,13733.858119419643,12355.341731770834,12941.003564453125,894.1461016241082,14729.295767701342,11152.711361204909
2020-11-05,15579.8486328125,15706.404296875,14102.0888671875,14133.7333984375,40856321439,0.13636363636363635,72,14039.853236607143,12521.189811197917,13153.88984375,990.129326382629,15134.148496515258,11173.63119098474
2020-11-06,15565.880859375,15903.4375,15226.83984375,15579.7294921875,39837841971,0.0,90,14328.3330078125,12684.42021484375,13364.27880859375,1034.5184578780159,15433.31572434978,11295.24189283772
2020-11-07,14833.75390625,15737.095703125,14423.203125,15565.880859375,35024953706,0.0,88,14478.727120535714,12815.022493489583,13531.79853515625,983.9389777111387,15499.676490578528,11563.920579733971
2020-11-08,15479.5673828125,15637.3203125,14744.1103515625,14833.75390625,26632075029,0.0,82,14727.649693080357,12962.192805989584,13718.675048828125,981.0489343653426,15680.77291755881,11756.57718009744
2020-11-09,15332.3154296875,15785.13671875,14865.529296875,15479.595703125,34149115566,0.0,90,14982.1962890625,13096.724609375,13889.474072265624,947.5353785631225,15784.544829391869,11994.40331513938
2020-11-10,15290.90234375,15450.3291015625,15124.9599609375,15332.3505859375,25574938143,0.0,90,15173.71079799107,13226.9486328125,14012.834716796875,961.971384635194,15936.777486067263,12088.891947526487
2020-11-11,15701.33984375,15916.2607421875,15290.0068359375,15290.9091796875,29772374934,0.0,86,15397.65834263393,13365.1478515625,14149.60712890625,999.0315251126196,16147.670179131488,12151.54407868101
2020-11-12,16276.34375,16305.00390625,15534.771484375,15701.298828125,34175758344,-0.15,87,15497.157645089286,13526.829329427082,14316.84736328125,1062.3496474779656,16441.54665823718,12192.148068325318
2020-11-13,16317.80859375,16463.177734375,15992.15234375,16276.4404296875,31599492172,0.0,89,15604.575892857143,13689.772721354168,14477.33466796875,1111.4407481723078,16700.216164313366,12254.453171624133
2020-11-14,16068.138671875,16317.80859375,15749.193359375,16317.80859375,27481710135,-0.15,90,15780.916573660714,13842.1990234375,14629.18291015625,1110.922533380928,16851.027976918107,12407.337843394394
2020-11-15,15955.587890625,16123.1103515625,15793.5341796875,16068.1396484375,23653867583,-0.3,86,15848.919503348214,13996.6478515625,14773.19990234375,1085.2757922689073,16943.751486881563,12602.648317805935
2020-11-16,16716.111328125,16816.181640625,15880.7060546875,15955.5771484375,31526766675,0.0,90,16046.60463169643,14175.248177083333,14926.29453125,1133.9886298869583,17194.271791023915,12658.317271476084
2020-11-17,17645.40625,17782.919921875,16564.544921875,16685.69140625,39006849170,0.0,86,16382.962332589286,14380.649739583334,15145.0005859375,1216.7804754245044,17578.56153678651,12711.43963508849
2020-11-18,17804.005859375,18393.94921875,17352.90625,17645.19140625,49064800278,0.0,91,16683.343191964286,14582.715364583333,15363.30673828125,1284.184078682093,17931.674895645436,12794.938580917064
2020-11-19,17817.08984375,18119.546875,17382.5546875,17803.861328125,36985055355,0.0,94,16903.449776785714,14779.407194010417,15576.835107421875,1320.7235923537135,18218.2822921293,12935.387922714448
2020-11-20,18621.314453125,18773.2265625,17765.794921875,17817.083984375,36992873940,0.0,86,17232.522042410714,14972.661360677082,15818.85107421875,1414.479334983086,18647.80974418492,12989.892404252578
2020-11-21,18642.232421875,18936.62109375,18444.359375,18621.31640625,39650210707,0.0,91,17600.24972098214,15161.872721354166,16064.1072265625,1459.0751598469838,18982.257546256467,13145.956906868534
2020-11-22,18370.001953125,18688.96875,17671.384765625,18642.232421875,41280434226,0.0,94,17945.166015625,15343.154817708333,16305.082861328125,1419.5365475304638,19144.15595638905,13466.009766267198
2020-11-23,18364.12109375,18711.42578125,18000.796875,18370.017578125,42741112308,0.0,90,18180.59598214286,15518.356770833334,16525.773876953124,1376.6310038810718,19279.035884715267,13772.511869190981
2020-11-24,19107.46484375,19348.271484375,18128.65625,18365.015625,51469565009,0.0,88,18389.461495535714,15720.8998046875,16774.461767578126,1371.0037930567478,19516.469353691624,14032.45418146463
2020-11-25,18732.12109375,19390.96484375,18581.146484375,19104.41015625,43710357371,0.0,94,18522.049386160714,15909.462239583334,16932.075390625,1407.159606836592,19746.394604298184,14117.756176951814
2020-11-26,17150.623046875,18866.28515625,16351.03515625,18729.83984375,61396835737,-0.3,93,18426.83984375,16026.009049479168,17011.3125,1370.3163333204373,19751.945166640875,14270.679833359125
2020-11-27,17108.40234375,17445.0234375,16526.423828125,17153.9140625,38886494645,0.0,86,18210.709542410714,16153.912955729167,17125.044921875,1270.8582667001992,19666.7614552754,14583.328388474602
2020-11-28,17717.4140625,17853.939453125,16910.65234375,17112.93359375,32601040734,0.0,87,18078.592633928572,16296.563997395833,17236.937255859375,1215.674838058457,19668.28693197629,14805.587579742461
2020-11-29,18177.484375,18283.62890625,17559.1171875,17719.634765625,31133957704,0.16818181818181818,89,18051.09012276786,16450.92939453125,17379.195703125,1145.5115196669856,19670.21874245897,15088.172663791027
2020-11-30,19625.8359375,19749.263671875,18178.322265625,18178.322265625,47728480399,0.0,88,18231.335100446428,16645.757421875,17595.9423828125,1139.68086292189,19875.30410865628,15316.58065696872
2020-12-01,18802.998046875,19845.974609375,18321.921875,19633.76953125,49633658712,0.0,95,18187.83984375,16814.620377604166,17751.02529296875,1077.644295664096,19906.313884296942,15595.736701640557
2020-12-02,19201.091796875,19308.330078125,18347.71875,18801.744140625,37387697139,0.16818181818181818,92,18254.83565848214,17002.973795572918,17897.2626953125,1065.371864588115,20028.00642448873,15766.518966136271
2020-12-03,19445.3984375,19566.19140625,18925.78515625,19205.92578125,31930317405,0.0,92,18582.660714285714,17186.143717447918,18053.6421875,1050.7712729485042,20155.18473339701,15952.099641602992
2020-12-04,18699.765625,19511.404296875,18697.193359375,19446.966796875,33872388058,0.13636363636363635,92,18809.99832589286,17338.345670572915,18185.22353515625,948.8847569627652,20082.99304908178,16287.454021230718
2020-12-05,19154.23046875,19160.44921875,18590.193359375,18698.384765625,27242455064,0.0,93,19015.2578125,17457.491731770835,18345.1556640625,813.1613736000786,19971.478411262655,16718.832916862342
2020-12-06,19345.12109375,19390.5,18897.89453125,19154.1796875,25293775714,0.0,95,19182.063058035714,17583.46640625,18476.60615234375,745.6525847421597,19967.91132182807,16985.30098285943
2020-12-07,19191.630859375,19411.828125,18931.142578125,19343.12890625,26896357742,0.0,94,19120.033761160714,17728.728971354165,18553.9173828125,735.0182343745169,20023.95385156153,17083.880914063466
2020-12-08,18321.14453125,19283.478515625,18269.9453125,19191.529296875,31692288756,0.0,95,19051.19754464286,17823.448209635415,18579.77431640625,716.1016018599139,20011.977520126078,17147.57111268642
2020-12-09,18553.916015625,18626.29296875,17935.546875,18320.884765625,34420373071,0.0,86,18958.74386160714,17930.834895833334,18616.615625,693.3922709196358,20003.40016683927,17229.831083160727
2020-12-10,18264.9921875,18553.298828125,17957.064453125,18553.298828125,25547132265,-0.15,94,18790.114397321428,18029.971223958335,18598.79951171875,697.8286877320652,19994.45688718288,17203.142136254617
